ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,ygopop RCA,Record Count,Slug Detailed Occupation,Geography,ID Geography,Slug Geography
291240,Surgeons,2018,2018,TRUE,TRUE,2442,1212.900062,346181.8112,126078.7537,1.601844577,28,surgeons,New Jersey,04000US34,new-jersey
113131,Training & development managers,2015,2015,TRUE,TRUE,1449,934.4023959,252478.138,156355.777,0.777203564,14,training-development-managers,New Jersey,04000US34,new-jersey
291060,Physicians & surgeons,2017,2017,TRUE,TRUE,27972,4092.911705,242150.0033,27156.86953,1.050649101,314,physicians-surgeons,New Jersey,04000US34,new-jersey
413031,"Securities, commodities, & financial services sales agents",2018,2018,TRUE,TRUE,13990,2899.215398,238809.6928,45880.60215,2.16650208,155,securities-commodities-financial-services-sales-agents,New Jersey,04000US34,new-jersey
291060,Physicians & surgeons,2016,2016,TRUE,TRUE,26217,3962.966655,237672.0124,29676.00858,1.025194975,288,physicians-surgeons,New Jersey,04000US34,new-jersey
1110XX,Chief executives & legislators,2018,2018,TRUE,TRUE,45908,5232.425434,220187.5611,20749.6726,1.313913445,500,chief-executives-legislators,New Jersey,04000US34,new-jersey
1320XX,Other financial specialists,2018,2018,TRUE,TRUE,1551,966.724704,220077.1999,128114.7468,0.96299163,18,other-financial-specialists-1320XX,New Jersey,04000US34,new-jersey
291081,Podiatrists,2018,2018,TRUE,TRUE,811,699.1083467,217798.3662,164558.5007,3.373325689,11,podiatrists,New Jersey,04000US34,new-jersey
291060,Physicians & surgeons,2014,2014,TRUE,TRUE,27784,4078.758048,217756.0192,26008.21407,1.144489511,301,physicians-surgeons,New Jersey,04000US34,new-jersey
291210,Physicians,2018,2018,TRUE,TRUE,31942,4371.666941,215826.9156,24676.60289,1.271966738,332,physicians,New Jersey,04000US34,new-jersey
193011,Economists,2015,2015,TRUE,TRUE,565,583.5388003,215048.4619,185173.6247,0.906945313,6,economists,New Jersey,04000US34,new-jersey
291060,Physicians & surgeons,2015,2015,TRUE,TRUE,29755,4219.968763,215003.8625,24795.39816,1.171151472,315,physicians-surgeons,New Jersey,04000US34,new-jersey
151111,Computer & information research scientists,2016,2016,TRUE,TRUE,555,578.3528044,214614.4288,174089.5012,1.033676307,7,computer-information-research-scientists,New Jersey,04000US34,new-jersey
292031,Cardiovascular technologists and technicians,2018,2018,TRUE,TRUE,1491,947.8481165,214367.0503,158485.7748,1.177369519,15,cardiovascular-technologists-and-technicians,New Jersey,04000US34,new-jersey
1110XX,Chief executives & legislators,2017,2017,TRUE,TRUE,47629,5328.612536,205808.4698,19210.54248,1.334809191,512,chief-executives-legislators,New Jersey,04000US34,new-jersey
413031,"Securities, commodities, & financial services sales agents",2016,2016,TRUE,TRUE,16472,3144.874488,202284.9202,34853.59842,2.665816189,175,securities-commodities-financial-services-sales-agents,New Jersey,04000US34,new-jersey
132052,Personal financial advisors,2018,2018,TRUE,TRUE,14525,2953.947427,201984.5039,38936.75166,1.429759148,169,personal-financial-advisors,New Jersey,04000US34,new-jersey
132099,Other financial specialists (Legacy),2014,2014,TRUE,TRUE,1784,1036.763598,201419.8907,106025.6342,0.949131689,22,other-financial-specialists,New Jersey,04000US34,new-jersey
152011,Actuaries,2017,2017,TRUE,TRUE,3768,1506.404441,199155.7909,77511.21894,4.124634102,38,actuaries,New Jersey,04000US34,new-jersey
413031,"Securities, commodities, & financial services sales agents",2017,2017,TRUE,TRUE,15767,3077.222754,197756.3899,34481.83642,2.441416112,157,securities-commodities-financial-services-sales-agents,New Jersey,04000US34,new-jersey
193011,Economists,2018,2018,TRUE,TRUE,540,570.4854081,197670.2296,98742.59205,0.717862,7,economists,New Jersey,04000US34,new-jersey
2310XX,"Lawyers, & judges, magistrates, & other judicial workers",2018,2018,TRUE,TRUE,40581,4922.551093,195430.7007,20795.73525,1.371867771,468,lawyers-judges-magistrates-other-judicial-workers,New Jersey,04000US34,new-jersey
1110XX,Chief executives & legislators,2015,2015,TRUE,TRUE,40750,4931.955861,192984.6327,18552.12799,1.210975025,430,chief-executives-legislators,New Jersey,04000US34,new-jersey
1110XX,Chief executives & legislators,2016,2016,TRUE,TRUE,44737,5165.431203,192829.2158,17481.12106,1.300681009,444,chief-executives-legislators,New Jersey,04000US34,new-jersey
1110XX,Chief executives & legislators,2014,2014,TRUE,TRUE,39063,4829.746382,190056.1239,18663.68033,1.164160366,427,chief-executives-legislators,New Jersey,04000US34,new-jersey
291020,Dentists,2015,2015,TRUE,TRUE,5485,1817.100738,184701.8975,55942.90492,1.40348556,57,dentists,New Jersey,04000US34,new-jersey
152011,Actuaries,2018,2018,TRUE,TRUE,2295,1175.847266,183968.7054,70800.55539,2.314275493,26,actuaries,New Jersey,04000US34,new-jersey
