ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
2018,2018,81740,687,New Jersey,04000US34,new-jersey
2018,2018,78478,729,"New York-Newark-Jersey City, NY-NJ-PA",31000US35620,new-york-northern-new-jersey-long-island-ny-nj-pa-metro-area
2018,2018,67844,637,New York,04000US36,new-york
2018,2018,61937,94,United States,01000US,united-states
2018,2018,60905,315,Pennsylvania,04000US42,pennsylvania
2018,2018,70747,670,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",31000US37980,philadelphia-camden-wilmington-pa-nj-de-md-metro-area
2018,2018,64805,1570,Delaware,04000US10,delaware
2017,2017,68572,885,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",31000US37980,philadelphia-camden-wilmington-pa-nj-de-md-metro-area
2017,2017,75368,538,"New York-Newark-Jersey City, NY-NJ-PA",31000US35620,new-york-northern-new-jersey-long-island-ny-nj-pa-metro-area
2017,2017,60336,86,United States,01000US,united-states
2017,2017,62852,2464,Delaware,04000US10,delaware
2017,2017,80088,672,New Jersey,04000US34,new-jersey
2017,2017,59195,443,Pennsylvania,04000US42,pennsylvania
2017,2017,64894,507,New York,04000US36,new-york
2016,2016,61757,1492,Delaware,04000US10,delaware
2016,2016,57617,115,United States,01000US,united-states
2016,2016,71897,442,"New York-Newark-Jersey City, NY-NJ-PA",31000US35620,new-york-northern-new-jersey-long-island-ny-nj-pa-metro-area
2016,2016,65996,762,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",31000US37980,philadelphia-camden-wilmington-pa-nj-de-md-metro-area
2016,2016,62909,631,New York,04000US36,new-york
2016,2016,56907,360,Pennsylvania,04000US42,pennsylvania
2016,2016,76126,701,New Jersey,04000US34,new-jersey
2015,2015,55775,85,United States,01000US,united-states
2015,2015,55702,377,Pennsylvania,04000US42,pennsylvania
2015,2015,60850,306,New York,04000US36,new-york
2015,2015,72222,610,New Jersey,04000US34,new-jersey
2015,2015,61255,1281,Delaware,04000US10,delaware
2015,2015,65123,761,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",31000US37980,philadelphia-camden-wilmington-pa-nj-de-md-metro-area
2015,2015,68743,661,"New York-Newark-Jersey City, NY-NJ-PA",31000US35620,new-york-northern-new-jersey-long-island-ny-nj-pa-metro-area
2014,2014,53657,93,United States,01000US,united-states
2014,2014,59716,1674,Delaware,04000US10,delaware
2014,2014,62171,561,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",31000US37980,philadelphia-camden-wilmington-pa-nj-de-md-metro-area
2014,2014,67066,481,"New York-Newark-Jersey City, NY-NJ-PA",31000US35620,new-york-northern-new-jersey-long-island-ny-nj-pa-metro-area
2014,2014,71919,438,New Jersey,04000US34,new-jersey
2014,2014,53234,420,Pennsylvania,04000US42,pennsylvania
2014,2014,58878,393,New York,04000US36,new-york
2013,2013,52250,65,United States,01000US,united-states
2013,2013,57846,1876,Delaware,04000US10,delaware
2013,2013,70165,546,New Jersey,04000US34,new-jersey
2013,2013,52007,256,Pennsylvania,04000US42,pennsylvania
2013,2013,57369,431,New York,04000US36,new-york
2013,2013,60482,574,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",31000US37980,philadelphia-camden-wilmington-pa-nj-de-md-metro-area
2013,2013,65786,424,"New York-Newark-Jersey City, NY-NJ-PA",31000US35620,new-york-northern-new-jersey-long-island-ny-nj-pa-metro-area
