ID Wage Bin,Wage Bin,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography,share
11,$100-110k,2018,2018,TRUE,TRUE,3994488,48408.84466,40446,United States,01000US,united-states,0.026717763
21,$200k+,2018,2018,TRUE,TRUE,206142,10878.26511,2311,New Jersey,04000US34,new-jersey,0.047635333
20,$190-200k,2018,2018,TRUE,TRUE,13784,2877.859766,148,New Jersey,04000US34,new-jersey,0.003185209
2,$10-20k,2018,2018,TRUE,TRUE,18713295,99337.33683,168669,United States,01000US,united-states,0.125166824
19,$180-190k,2018,2018,TRUE,TRUE,22945,3709.064473,262,New Jersey,04000US34,new-jersey,0.005302135
3,$20-30k,2018,2018,TRUE,TRUE,21312636,104953.5188,187613,United States,01000US,united-states,0.142552926
18,$170-180k,2018,2018,TRUE,TRUE,29584,4208.367225,338,New Jersey,04000US34,new-jersey,0.006836276
4,$30-40k,2018,2018,TRUE,TRUE,19603466,101325.9939,179445,United States,01000US,united-states,0.131120873
17,$160-170k,2018,2018,TRUE,TRUE,34942,4570.757566,375,New Jersey,04000US34,new-jersey,0.008074404
5,$40-50k,2018,2018,TRUE,TRUE,15748234,92155.4496,150012,United States,01000US,united-states,0.105334546
16,$150-160k,2018,2018,TRUE,TRUE,66729,6292.998479,714,New Jersey,04000US34,new-jersey,0.01541975
6,$50-60k,2018,2018,TRUE,TRUE,12681069,83638.47601,124083,United States,01000US,united-states,0.08481933
15,$140-150k,2018,2018,TRUE,TRUE,46793,5282.073227,507,New Jersey,04000US34,new-jersey,0.010812935
7,$60-70k,2018,2018,TRUE,TRUE,10007615,75023.17134,98530,United States,01000US,united-states,0.066937511
14,$130-140k,2018,2018,TRUE,TRUE,66550,6284.684362,731,New Jersey,04000US34,new-jersey,0.015378387
8,$70-80k,2018,2018,TRUE,TRUE,7130293,63976.00882,70363,United States,01000US,united-states,0.047692089
13,$120-130k,2018,2018,TRUE,TRUE,102163,7754.141428,1076,New Jersey,04000US34,new-jersey,0.023607846
9,$80-90k,2018,2018,TRUE,TRUE,5523100,56622.9387,55135,United States,01000US,united-states,0.036942125
12,$110-120k,2018,2018,TRUE,TRUE,79495,6858.334116,873,New Jersey,04000US34,new-jersey,0.01836972
10,$90-100k,2018,2018,TRUE,TRUE,4013620,48521.44556,40377,United States,01000US,united-states,0.02684573
11,$100-110k,2018,2018,TRUE,TRUE,163150,9727.995814,1707,New Jersey,04000US34,new-jersey,0.037700734
1,< $10K,2018,2018,TRUE,TRUE,16884340,95015.59124,165660,United States,01000US,united-states,0.11293357
10,$90-100k,2018,2018,TRUE,TRUE,152843,9427.344987,1602,New Jersey,04000US34,new-jersey,0.03531899
12,$110-120k,2018,2018,TRUE,TRUE,2001566,34501.10137,20405,United States,01000US,united-states,0.01338779
9,$80-90k,2018,2018,TRUE,TRUE,197637,10662.47864,2077,New Jersey,04000US34,new-jersey,0.045669996
13,$120-130k,2018,2018,TRUE,TRUE,2350727,37345.17328,24053,United States,01000US,united-states,0.015723208
8,$70-80k,2018,2018,TRUE,TRUE,257762,12087.84545,2601,New Jersey,04000US34,new-jersey,0.059563693
14,$130-140k,2018,2018,TRUE,TRUE,1346310,28358.48493,13878,United States,01000US,united-states,0.009005007
7,$60-70k,2018,2018,TRUE,TRUE,315640,13280.82733,3127,New Jersey,04000US34,new-jersey,0.072938152
15,$140-150k,2018,2018,TRUE,TRUE,989183,24337.25508,10216,United States,01000US,united-states,0.006616306
6,$50-60k,2018,2018,TRUE,TRUE,358873,14084.67283,3514,New Jersey,04000US34,new-jersey,0.082928442
16,$150-160k,2018,2018,TRUE,TRUE,1319827,28080.69185,13574,United States,01000US,united-states,0.008827871
5,$40-50k,2018,2018,TRUE,TRUE,373337,14339.50073,3463,New Jersey,04000US34,new-jersey,0.086270786
17,$160-170k,2018,2018,TRUE,TRUE,673201,20098.66233,7044,United States,01000US,united-states,0.004502811
4,$30-40k,2018,2018,TRUE,TRUE,454979,15665.66369,4115,New Jersey,04000US34,new-jersey,0.105136635
18,$170-180k,2018,2018,TRUE,TRUE,550836,18187.97682,5736,United States,01000US,united-states,0.003684353
3,$20-30k,2018,2018,TRUE,TRUE,504113,16384.91949,4335,New Jersey,04000US34,new-jersey,0.11649053
19,$180-190k,2018,2018,TRUE,TRUE,502850,17380.50551,5315,United States,01000US,united-states,0.003363392
2,$10-20k,2018,2018,TRUE,TRUE,464037,15802.32234,4180,New Jersey,04000US34,new-jersey,0.10722976
20,$190-200k,2018,2018,TRUE,TRUE,258574,12473.5853,2729,United States,01000US,united-states,0.001729513
1,< $10K,2018,2018,TRUE,TRUE,416004,15054.84989,4142,New Jersey,04000US34,new-jersey,0.096130285
21,$200k+,2018,2018,TRUE,TRUE,3901599,47857.94502,41982,United States,01000US,united-states,0.02609646
11,$100-110k,2017,2017,TRUE,TRUE,3805887,47275.33869,38504,United States,01000US,united-states,0.025764634
16,$150-160k,2017,2017,TRUE,TRUE,61256,6033.401423,683,New Jersey,04000US34,new-jersey,0.014114926
6,$50-60k,2017,2017,TRUE,TRUE,12473792,82969.13568,121810,United States,01000US,united-states,0.084443571
10,$90-100k,2017,2017,TRUE,TRUE,138566,8992.007941,1475,New Jersey,04000US34,new-jersey,0.031929099
12,$110-120k,2017,2017,TRUE,TRUE,1888638,33523.92721,19264,United States,01000US,united-states,0.012785473
20,$190-200k,2017,2017,TRUE,TRUE,11922,2677.022152,135,New Jersey,04000US34,new-jersey,0.002747129
2,$10-20k,2017,2017,TRUE,TRUE,19419097,100828.6429,174077,United States,01000US,united-states,0.131461058
9,$80-90k,2017,2017,TRUE,TRUE,207972,10924.79911,2120,New Jersey,04000US34,new-jersey,0.047921991
13,$120-130k,2017,2017,TRUE,TRUE,2195301,36105.25743,22483,United States,01000US,united-states,0.014861484
15,$140-150k,2017,2017,TRUE,TRUE,47610,5327.561386,486,New Jersey,04000US34,new-jersey,0.010970544
7,$60-70k,2017,2017,TRUE,TRUE,9664187,73784.45297,94850,United States,01000US,united-states,0.065423446
8,$70-80k,2017,2017,TRUE,TRUE,242299,11742.89709,2478,New Jersey,04000US34,new-jersey,0.055831797
14,$130-140k,2017,2017,TRUE,TRUE,1219921,27004.73137,12557,United States,01000US,united-states,0.008258474
18,$170-180k,2017,2017,TRUE,TRUE,26971,4019.476981,281,New Jersey,04000US34,new-jersey,0.006214798
4,$30-40k,2017,2017,TRUE,TRUE,19361189,100700.9127,177684,United States,01000US,united-states,0.131069039
7,$60-70k,2017,2017,TRUE,TRUE,309247,13157.54846,3079,New Jersey,04000US34,new-jersey,0.071258304
15,$140-150k,2017,2017,TRUE,TRUE,904007,23271.67625,9403,United States,01000US,united-states,0.006119837
14,$130-140k,2017,2017,TRUE,TRUE,55705,5757.269223,606,New Jersey,04000US34,new-jersey,0.012835836
8,$70-80k,2017,2017,TRUE,TRUE,6984904,63333.9177,69155,United States,01000US,united-states,0.04728556
6,$50-60k,2017,2017,TRUE,TRUE,372610,14328.76198,3565,New Jersey,04000US34,new-jersey,0.085858736
16,$150-160k,2017,2017,TRUE,TRUE,1245986,27289.27203,12803,United States,01000US,united-states,0.008434926
21,$200k+,2017,2017,TRUE,TRUE,186889,10382.64703,2113,New Jersey,04000US34,new-jersey,0.043063936
1,< $10K,2017,2017,TRUE,TRUE,17420601,96240.3931,169617,United States,01000US,united-states,0.117931881
5,$40-50k,2017,2017,TRUE,TRUE,376934,14403.80607,3438,New Jersey,04000US34,new-jersey,0.086855095
17,$160-170k,2017,2017,TRUE,TRUE,627113,19400.98729,6576,United States,01000US,united-states,0.004245354
13,$120-130k,2017,2017,TRUE,TRUE,102003,7748.478844,1056,New Jersey,04000US34,new-jersey,0.023504062
9,$80-90k,2017,2017,TRUE,TRUE,5296939,55482.70357,53128,United States,01000US,united-states,0.035858578
4,$30-40k,2017,2017,TRUE,TRUE,453206,15641.28148,3925,New Jersey,04000US34,new-jersey,0.104430086
18,$170-180k,2017,2017,TRUE,TRUE,492628,17203.18751,5160,United States,01000US,united-states,0.003334934
17,$160-170k,2017,2017,TRUE,TRUE,27984,4093.783845,325,New Jersey,04000US34,new-jersey,0.006448219
5,$40-50k,2017,2017,TRUE,TRUE,15445707,91305.36526,147128,United States,01000US,united-states,0.104562482
3,$20-30k,2017,2017,TRUE,TRUE,506176,16417.06256,4316,New Jersey,04000US34,new-jersey,0.116635709
19,$180-190k,2017,2017,TRUE,TRUE,457330,16577.39472,4758,United States,01000US,united-states,0.003095977
