ID Race,Race,ID Year,Year,ID Workforce Status,Workforce Status,ID Detailed Occupation,Detailed Occupation,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography
9,Two or More Races,2018,2018,TRUE,TRUE,533030,Driver/sales workers & truck drivers,34229.20105,11744.01386,1338,897.9159088,18,New Jersey,04000US34,new-jersey
6,Asian,2018,2018,TRUE,TRUE,533030,Driver/sales workers & truck drivers,16447.88386,11264.45182,1722,1018.602899,16,New Jersey,04000US34,new-jersey
9,Two or More Races,2018,2018,TRUE,TRUE,412031,Retail salespersons,26286.70713,14202.42836,3831,1518.932644,29,New Jersey,04000US34,new-jersey
9,Two or More Races,2018,2018,TRUE,TRUE,1191XX,Other managers,116292.5917,37761.0208,3424,1436.050649,34,New Jersey,04000US34,new-jersey
9,Two or More Races,2018,2018,TRUE,TRUE,252020,Elementary & middle school teachers,58024.05874,15848.00182,2809,1300.797313,23,New Jersey,04000US34,new-jersey
6,Asian,2018,2018,TRUE,TRUE,291141,Registered nurses,83713.92433,7027.24003,15409,3042.197513,173,New Jersey,04000US34,new-jersey
6,Asian,2018,2018,TRUE,TRUE,412031,Retail salespersons,21849.75875,4608.97307,9227,2355.816875,82,New Jersey,04000US34,new-jersey
6,Asian,2018,2018,TRUE,TRUE,1191XX,Other managers,132789.7359,17321.50677,16288,3127.445792,165,New Jersey,04000US34,new-jersey
6,Asian,2018,2018,TRUE,TRUE,252020,Elementary & middle school teachers,44415.0937,10567.2994,5016,1737.807558,50,New Jersey,04000US34,new-jersey
8,Other,2018,2018,TRUE,TRUE,252020,Elementary & middle school teachers,60511.41823,9637.706957,3510,1453.958863,26,New Jersey,04000US34,new-jersey
8,Other,2018,2018,TRUE,TRUE,1191XX,Other managers,63717.96988,13702.50766,4482,1642.803685,28,New Jersey,04000US34,new-jersey
1,White,2018,2018,TRUE,TRUE,252020,Elementary & middle school teachers,62395.4841,2436.119173,111271,8083.683739,1262,New Jersey,04000US34,new-jersey
1,White,2018,2018,TRUE,TRUE,1191XX,Other managers,126453.8989,9306.71577,93026,7407.269253,1035,New Jersey,04000US34,new-jersey
1,White,2018,2018,TRUE,TRUE,412031,Retail salespersons,38238.69929,5156.412298,72841,6570.169153,727,New Jersey,04000US34,new-jersey
1,White,2018,2018,TRUE,TRUE,291141,Registered nurses,74474.81283,4704.834478,60100,5976.888227,706,New Jersey,04000US34,new-jersey
1,White,2018,2018,TRUE,TRUE,533030,Driver/sales workers & truck drivers,50172.33192,5440.030425,56326,5788.743538,536,New Jersey,04000US34,new-jersey
8,Other,2018,2018,TRUE,TRUE,412031,Retail salespersons,24556.59273,9073.775268,5419,1806.185065,33,New Jersey,04000US34,new-jersey
2,Black,2018,2018,TRUE,TRUE,533030,Driver/sales workers & truck drivers,55704.5933,9300.421341,18200,3305.181243,131,New Jersey,04000US34,new-jersey
8,Other,2018,2018,TRUE,TRUE,533030,Driver/sales workers & truck drivers,45376.13341,11586.78065,14557,2957.188584,86,New Jersey,04000US34,new-jersey
8,Other,2018,2018,TRUE,TRUE,291141,Registered nurses,53580.34692,21644.8888,2061,1114.320992,12,New Jersey,04000US34,new-jersey
2,Black,2018,2018,TRUE,TRUE,291141,Registered nurses,77082.09518,9045.927566,14362,2937.381523,90,New Jersey,04000US34,new-jersey
2,Black,2018,2018,TRUE,TRUE,412031,Retail salespersons,24856.92431,10673.24147,11402,2618.137116,87,New Jersey,04000US34,new-jersey
9,Two or More Races,2018,2018,TRUE,TRUE,291141,Registered nurses,71218.6245,20733.18376,2514,1230.640519,21,New Jersey,04000US34,new-jersey
